current_belt;gender;training_years;favourite;white_blue;blue_purple;purple_brown;brown_black;training_per_week;both_gi_nogi;gi_or_no_gi;training_time;travel;how_old_when_started;mobility_exercises;yoga;preferred_style;have_fav_athlete;leg_lock_friendly;gym_self_defense;membership;gym_curriculum;time_watching_bjj;do_watch_sport_bjj;num_gis;num_rashguards;num_shorts;bjj_apparel;money_for_gear;education;income;age;age_cat;race;nationality;country;instrutor_encourages_competition;competed;choke
blue belt;Male; 2-4 years;no answer; 2-4 years;no answer;no answer;no answer;1-2 times;No;Gi;Evening;No;'26-30';No;No;Pressure Passing;No;No;one of the focuses;$101-200;No;0-1 hour;No;'3-4';'3-4';'1-2';No;$101-200;Bachelor's Degree;$ 26K-50K;28;25-30;Asian/Pacific Islander;Indian;India;No;Yes;no answer
purple belt;Male; 6-8 years;chess; 0-2 years; 4-6 years;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'36-40';No;No;Pressure Passing;No;Yes;one of the focuses;$101-200;Yes;None at all;No;'5-6';'3-4';'3-4';No;$ 51-100;JD;$ 76K-100K;44;40-45;White/Caucasian;Canada;Canada;No;Yes;Yes
white belt;Male; 0-2 years;the camaraderie at the gym mixed with the feeling of discovery as moves and ideas start to flow together;no answer;no answer;no answer;no answer;5-6 times;No;Gi;Morning;Yes;'31-35';No;No;Closed guard;Yes;Only at certain belt levels;not a focus;$101-200;No;0-1 hour;Yes;'3-4';'3-4';'3-4';Yes;$201-300;JD;$100K+;31;30-35;White/Caucasian;United States;USA;Yes;No;No
brown belt;Male; 8-10 years;technical problem solving while rolling; 0-2 years; 2-4 years; 2-4 years;no answer;5-6 times;Yes;Gi;Evening;Yes;'26-30';Yes;No;Pressure Passing;Yes;Only at certain belt levels;not a focus;$101-200;Yes;0-1 hour;Yes;'7+';'5-6';'1-2';No;$101-200;Bachelor's Degree;$ 76K-100K;34;30-35;White/Caucasian;U.S.A;USA;Yes;Yes;Yes
purple belt;Male;10-12 years;being lost in the flow of a roll; 2-4 years; 2-4 years;no answer;no answer;3-4 times;Yes;No-gi;Morning;Yes;'31-35';Yes;Yes;Leg locking;Yes;Only at certain belt levels;not a focus;$ 51-100;No;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';Yes;$101-200;Ph.D.;$ 51k-75K;43;40-45;White/Caucasian;American;USA;No;Yes;No
blue belt;Male; 0-2 years;physical chess match full effort against a combatant training partner; 0-2 years;no answer;no answer;no answer;1-2 times;Yes;Gi;Morning;Yes;'26-30';No;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;$ 51-100;Yes;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';Yes;$401-500;Associate's Degree;$ 26K-50K;28;25-30;White/Caucasian;United States;USA;Yes;Yes;Yes
blue belt;Male; 4-6 years;becoming better at grappling the ceiling for improvement is so high that it s addictive to try and push to become better; 0-2 years;no answer;no answer;no answer;5-6 times;Yes;Gi;Evening;No;'16-20';Yes;No;Open Guard;Yes;Only at certain belt levels;not a focus;$ 0-50;No;1 hour -2 hours;Yes;'5-6';'5-6';'1-2';No;$101-200;High School/GED;$ 0-25K;25;25-30;White/Caucasian;United states;USA;Yes;Yes;No
purple belt;Male; 4-6 years;the chess match; 0-2 years; 2-4 years;no answer;no answer;3-4 times;Yes;No-gi;Lunch;Yes;'26-30';Yes;No;Pressure Passing;Yes;Only at certain belt levels;not a focus;$ 51-100;No;0-1 hour;Yes;'5-6';'3-4';'1-2';Yes;$101-200;Bachelor's Degree;$100K+;33;30-35;White/Caucasian;American;USA;Yes;Yes;No
white belt;Male; 2-4 years;it s fun;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'16-20';No;Yes;Open Guard;Yes;Yes;one of the focuses;$101-200;No;1 hour -2 hours;No;'1-2';'1-2';'1-2';Yes;$ 51-100;Bachelor's Degree;$ 51k-75K;28;25-30;White/Caucasian;American;USA;Yes;Yes;No
blue belt;Male; 0-2 years;community; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Morning;Yes;'31-35';Yes;Yes;Pressure Passing;Yes;Yes;one of the focuses;$ 51-100;No;1 hour -2 hours;Yes;'3-4';'1-2';'1-2';Yes;$600+;Ph.D.;$ 51k-75K;35;35-40;White/Caucasian;American;USA;Yes;No;No
white belt;Male; 2-4 years;no answer;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Morning;Yes;'26-30';Yes;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;$101-200;No;1 hour -2 hours;Yes;'1-2';'3-4';'3-4';Yes;$201-300;High School/GED;$ 26K-50K;29;25-30;White/Caucasian;American;USA;Yes;Yes;Yes
blue belt;Male; 2-4 years;kicking ass; 0-2 years;no answer;no answer;no answer;5-6 times;No;Gi;Evening;Yes;'11-15';No;No;Open Guard;Yes;Only at certain belt levels;one of the focuses;$101-200;No;1 hour -2 hours;Yes;'3-4';'5-6';'1-2';No;$301-400;High School/GED;$ 26K-50K;18;15-20;Asian/Pacific Islander;Canada;Canada;Yes;Yes;No
blue belt;Male; 2-4 years;you are in the moment and all other aspects of life disappear; 2-4 years;no answer;no answer;no answer;5-6 times;Yes;Gi;Evening;Yes;'26-30';Yes;Yes;Open Guard;Yes;Yes;one of the focuses;$ 51-100;Yes;1 hour -2 hours;Yes;'5-6';'5-6';'3-4';Yes;$201-300;High School/GED;$ 26K-50K;31;30-35;White/Caucasian;American;USA;Yes;Yes;Yes
purple belt;Male; 2-4 years;strategy; 0-2 years; 0-2 years;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'26-30';No;No;Closed guard;No;Yes;not a focus;$101-200;Yes;0-1 hour;Yes;'3-4';'3-4';'1-2';No;$101-200;Bachelor's Degree;$100K+;29;25-30;White/Caucasian;USA;USA;Yes;Yes;no answer
brown belt;Male; 6-8 years;the friendship and learning; 0-2 years; 2-4 years; 2-4 years;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';No;No;Pressure Passing;Yes;Yes;not a focus;$101-200;No;0-1 hour;Yes;'5-6';'5-6';'3-4';Yes;$201-300;Bachelor's Degree;$ 76K-100K;32;30-35;White/Caucasian;American;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;comraderie;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'40+';No;No;Pressure Passing;No;No;not a focus;$101-200;Yes;1 hour -2 hours;Yes;'5-6';'3-4';'1-2';Yes;$501-600;High School/GED;$ 26K-50K;45;45-50;White/Caucasian;English/Irish;Ireland;No;No;No
blue belt;Male; 2-4 years;learning a skill making friends staying in shape; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';No;No;Open Guard;Yes;Yes;not a focus;$101-200;No;0-1 hour;Yes;'3-4';'1-2';'1-2';No;$101-200;Bachelor's Degree;$ 26K-50K;33;30-35;White/Caucasian;USA;USA;Yes;Yes;Yes
purple belt;Male; 4-6 years;crushing the shit out of younger buffer dudes and getting them to tap to pressure; 0-2 years; 2-4 years;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'36-40';No;No;Closed guard;Yes;Yes;one of the focuses;$ 0-50;No;0-1 hour;Yes;'3-4';'3-4';'1-2';No;$ 51-100;Bachelor's Degree;$ 26K-50K;41;40-45;White/Caucasian;United States ;USA;Yes;Yes;no answer
blue belt;Male;10-12 years;testing personal physical limits; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Morning;No;'21-25';Yes;Yes;Pressure Passing;Yes;Yes;not a focus;$ 51-100;No;0-1 hour;Yes;'3-4';'3-4';'3-4';Yes;$201-300;Other;$ 26K-50K;36;35-40;White/Caucasian;American;USA;No;Yes;No
purple belt;Male; 6-8 years;rolling; 2-4 years; 2-4 years;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'26-30';No;Yes;Closed guard;No;Yes;one of the focuses;$101-200;No;0-1 hour;No;'3-4';'3-4';'1-2';No;$101-200;Master's Degree;$ 76K-100K;37;35-40;White/Caucasian;White/Jew;no answer;Yes;Yes;Yes
